,Train Accuracy,Test Accuracy,Loss
0,0.3333333333333333,0.32,1.818676233291626
1,0.3806818181818182,0.26666666666666666,1.741657018661499
2,0.32196969696969696,0.3022222222222222,1.4019190073013306
3,0.35984848484848486,0.27555555555555555,1.5402910709381104
4,0.3428030303030303,0.28,1.301910400390625
5,0.42424242424242425,0.30666666666666664,1.0982452630996704
6,0.4696969696969697,0.29333333333333333,1.155221939086914
7,0.49242424242424243,0.31555555555555553,0.7929242849349976
8,0.49242424242424243,0.3288888888888889,0.9932255148887634
9,0.5265151515151515,0.3288888888888889,0.9217939376831055
10,0.6136363636363636,0.3022222222222222,0.664497435092926
11,0.6174242424242424,0.3288888888888889,0.5037873387336731
12,0.6534090909090909,0.26222222222222225,0.44768694043159485
13,0.6534090909090909,0.3288888888888889,0.42814210057258606
14,0.6875,0.27111111111111114,0.6053229570388794
15,0.6666666666666666,0.36,0.34995630383491516
16,0.7026515151515151,0.29777777777777775,0.3271668553352356
17,0.7272727272727273,0.39555555555555555,0.34290701150894165
18,0.7803030303030303,0.32,0.2523309290409088
19,0.803030303030303,0.3422222222222222,0.15442006289958954
20,0.865530303030303,0.37333333333333335,0.06848280876874924
21,0.884469696969697,0.3422222222222222,0.09077943861484528
22,0.8863636363636364,0.36444444444444446,0.13379819691181183
23,0.8939393939393939,0.36444444444444446,0.11381135880947113
24,0.8863636363636364,0.40444444444444444,0.05151459202170372
25,0.9147727272727273,0.36,0.07718692719936371
26,0.8731060606060606,0.3688888888888889,0.22007553279399872
27,0.8617424242424242,0.31555555555555553,0.14092278480529785
28,0.928030303030303,0.38222222222222224,0.05371103808283806
29,0.8958333333333334,0.39111111111111113,0.05380150303244591
30,0.9356060606060606,0.3688888888888889,0.02491743303835392
31,0.9583333333333334,0.4222222222222222,0.02016455866396427
32,0.9621212121212122,0.38666666666666666,0.012975522316992283
33,0.9602272727272727,0.36444444444444446,0.031096627935767174
34,0.9602272727272727,0.4088888888888889,0.018966946750879288
35,0.9753787878787878,0.38222222222222224,0.006991046015173197
36,0.9753787878787878,0.38666666666666666,0.00845391396433115
37,0.9848484848484849,0.4,0.005372115410864353
38,0.9848484848484849,0.4222222222222222,0.005479949060827494
39,0.9943181818181818,0.3688888888888889,0.00437872763723135
40,0.9943181818181818,0.4222222222222222,0.011213405057787895
41,0.9867424242424242,0.39111111111111113,0.005296877585351467
42,0.9886363636363636,0.4088888888888889,0.0033112934324890375
43,0.9829545454545454,0.4088888888888889,0.007403544150292873
44,0.9886363636363636,0.38222222222222224,0.002639668295159936
45,0.9924242424242424,0.4311111111111111,0.004120622295886278
46,0.9943181818181818,0.39555555555555555,0.0026818003971129656
47,0.9943181818181818,0.41333333333333333,0.002322230953723192
48,1.0,0.37333333333333335,0.001641546026803553
49,1.0,0.4088888888888889,0.0008864743285812438
50,0.9981060606060606,0.4488888888888889,0.00457399245351553
51,0.9981060606060606,0.39111111111111113,0.00545511906966567
52,0.9943181818181818,0.4444444444444444,0.002090930938720703
53,0.9962121212121212,0.40444444444444444,0.014273949898779392
54,0.9981060606060606,0.4,0.0032179695554077625
55,0.9943181818181818,0.4,0.0014551708009094
56,0.9981060606060606,0.35555555555555557,0.0005092961364425719
57,0.9981060606060606,0.4222222222222222,0.0011823518434539437
58,1.0,0.4222222222222222,0.0006364413420669734
59,0.9962121212121212,0.38222222222222224,0.001213175943121314
60,1.0,0.4222222222222222,0.002923931460827589
61,0.9962121212121212,0.4444444444444444,0.001224892446771264
62,0.9981060606060606,0.4488888888888889,0.003257002215832472
63,0.9981060606060606,0.43555555555555553,0.003177949460223317
64,1.0,0.38222222222222224,0.006377492565661669
65,1.0,0.4,0.00019461767806205899
66,0.9981060606060606,0.39555555555555555,0.002842971356585622
67,0.9981060606060606,0.43555555555555553,0.0006850446807220578
68,1.0,0.4222222222222222,0.0011556148529052734
69,0.9981060606060606,0.37777777777777777,0.0006505761994048953
70,1.0,0.41333333333333333,0.0003909383376594633
71,1.0,0.4222222222222222,0.0018574169371277094
72,1.0,0.40444444444444444,0.013357707299292088
73,1.0,0.4,0.0005272456328384578
74,1.0,0.4266666666666667,0.0009128025849349797
75,1.0,0.4088888888888889,0.0002225467178504914
76,1.0,0.38666666666666666,0.00029025759431533515
77,1.0,0.44,0.00014298302994575351
78,1.0,0.39111111111111113,0.00022397722932510078
79,1.0,0.40444444444444444,0.00023974690702743828
80,1.0,0.4444444444444444,0.000563553418032825
81,1.0,0.4177777777777778,0.0001226152671733871
82,1.0,0.4266666666666667,0.0003418922424316406
83,1.0,0.4177777777777778,0.00022057125170249492
84,1.0,0.4266666666666667,0.00023474011686630547
85,0.9981060606060606,0.4177777777777778,0.0011862005339935422
86,1.0,0.38222222222222224,0.002249819925054908
87,1.0,0.39111111111111113,0.0006636551697738469
88,1.0,0.43555555555555553,0.0005858966032974422
89,1.0,0.4311111111111111,0.0003997257736045867
90,1.0,0.41333333333333333,0.00014325550000648946
91,1.0,0.40444444444444444,6.866455078125e-05
92,0.9981060606060606,0.4311111111111111,0.00031958307954482734
93,1.0,0.4222222222222222,0.0004057884216308594
94,1.0,0.4088888888888889,0.0006364072905853391
95,1.0,0.44,0.0006420612335205078
96,1.0,0.4088888888888889,0.0003189359267707914
97,1.0,0.41333333333333333,0.00021638188627548516
98,1.0,0.4266666666666667,0.0003694125625770539
99,1.0,0.40444444444444444,0.00033514839014969766
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
